Event,Elevation [m],Longitude,Latitude,Depth water [m],Symbiosis,Spinose,export_n_m2_d,export_mmolC_m2_d,prop
CH3-1_trap,-4360,-73.18333,-30.0175,2333,Undetermined,Undetermined,0,0,0
CH3-1_trap,-4360,-73.18333,-30.0175,2333,Yes,No,0,0,0
CH3-1_trap,-4360,-73.18333,-30.0175,2333,Yes,Yes,21.675,0.00152628125,0.0043105634159947255
CH3-1_trap,-4360,-73.18333,-30.0175,2333,NA,NA,0,0,0
CH4-1_trap,-4330,-73.17116,-30.005,2303,No,No,1648.81,0.11610370416666667,0.8809322181052699
CH4-1_trap,-4330,-73.17116,-30.005,2303,No,Yes,213.45499999999998,0.015030789583333332,0.1140455156237895
CH4-1_trap,-4330,-73.17116,-30.005,2303,Undetermined,Undetermined,0,0,0
CH4-1_trap,-4330,-73.17116,-30.005,2303,Yes,No,0,0,0
CH4-1_trap,-4330,-73.17116,-30.005,2303,Yes,Yes,9.4,6.619166666666667e-4,0.00502226627094058
CH4-1_trap,-4330,-73.17116,-30.005,2303,NA,NA,0,0,0
CI7_trap,-3610,-15.45,29.1833,500,No,No,0.37894736842105264,2.668421052631579e-5,0.016547920018386578
CI7_trap,-3610,-15.45,29.1833,500,No,Yes,1.7736842105263155,1.2489692982456139e-4,0.07745345897494828
CI7_trap,-3610,-15.45,29.1833,500,Undetermined,Undetermined,0,0,0
CI7_trap,-3610,-15.45,29.1833,500,Yes,No,0,0,0
CI7_trap,-3610,-15.45,29.1833,500,Yes,Yes,20.74736842105263,0.0014609605263157894,0.9059986210066652
CI7_trap,-3610,-15.45,29.1833,500,NA,NA,0,0,0
CI7_trap,-3610,-15.45,29.1833,750,No,No,1.4210526315789473,1.000657894736842e-4,0.04349226804123711
CI7_trap,-3610,-15.45,29.1833,750,No,Yes,2.136842105263158,1.5046929824561402e-4,0.06539948453608246
CI7_trap,-3610,-15.45,29.1833,750,Undetermined,Undetermined,0,0,0
CI7_trap,-3610,-15.45,29.1833,750,Yes,No,0,0,0
CI7_trap,-3610,-15.45,29.1833,750,Yes,Yes,29.11578947368421,0.002050236842105263,0.8911082474226804
CI7_trap,-3610,-15.45,29.1833,750,NA,NA,0,0,0
EA1_trap,-4524,-11.25,3.1667,984,No,No,0,0,0
EA1_trap,-4524,-11.25,3.1667,984,No,Yes,13.635,9.6013125e-4,0.01920125051048429
EA1_trap,-4524,-11.25,3.1667,984,Undetermined,Undetermined,0,0,0
EA1_trap,-4524,-11.25,3.1667,984,Yes,No,0,0,0
EA1_trap,-4524,-11.25,3.1667,984,Yes,Yes,696.475,0.04904344791666667,0.9807987494895157
EA1_trap,-4524,-11.25,3.1667,984,NA,NA,0,0,0
EA2_trap,-4399,-11.25,1.8,953,No,No,0,0,0
EA2_trap,-4399,-11.25,1.8,953,No,Yes,36.6,0.00257725,0.037773626577771356
EA2_trap,-4399,-11.25,1.8,953,Undetermined,Undetermined,0,0,0
EA2_trap,-4399,-11.25,1.8,953,Yes,No,0,0,0
EA2_trap,-4399,-11.25,1.8,953,Yes,Yes,932.3299999999999,0.06565157083333333,0.9622263734222286
EA2_trap,-4399,-11.25,1.8,953,NA,NA,0,0,0
EA3_trap,-4141,-10.7667,-0.0833,1097,No,No,0,0,0
EA3_trap,-4141,-10.7667,-0.0833,1097,No,Yes,15.03,0.0010583625,0.046086623227290145
EA3_trap,-4141,-10.7667,-0.0833,1097,Undetermined,Undetermined,0,0,0
EA3_trap,-4141,-10.7667,-0.0833,1097,Yes,No,0,0,0
EA3_trap,-4141,-10.7667,-0.0833,1097,Yes,Yes,311.095,0.021906272916666667,0.9539133767727099
EA3_trap,-4141,-10.7667,-0.0833,1097,NA,NA,0,0,0
EA4_trap,-3906,-10.1,-2.1833,1068,No,No,0,0,0
EA4_trap,-3906,-10.1,-2.1833,1068,No,Yes,23.475,0.00165303125,0.042307588332297044
EA4_trap,-3906,-10.1,-2.1833,1068,Undetermined,Undetermined,0,0,0
EA4_trap,-3906,-10.1,-2.1833,1068,Yes,No,0,0,0
EA4_trap,-3906,-10.1,-2.1833,1068,Yes,Yes,531.39,0.0374187125,0.9576924116677029
EA4_trap,-3906,-10.1,-2.1833,1068,NA,NA,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1395,No,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1395,No,Yes,704.8461538461538,0.049632916666666665,0.7549641591826646
EAST-86/90_trap,-3785,68.69,15.48,1395,Undetermined,Undetermined,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1395,Yes,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1395,Yes,Yes,228.7692307692308,0.016109166666666667,0.24503584081733545
EAST-86/90_trap,-3785,68.69,15.48,1395,NA,NA,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1407,No,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1407,No,Yes,190,0.013379166666666666,0.8293650793650793
EAST-86/90_trap,-3785,68.69,15.48,1407,Undetermined,Undetermined,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1407,Yes,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,1407,Yes,Yes,39.09090909090909,0.0027526515151515153,0.17063492063492064
EAST-86/90_trap,-3785,68.69,15.48,1407,NA,NA,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2764,No,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2764,No,Yes,120.16666666666667,0.00846173611111111,0.8472385428907168
EAST-86/90_trap,-3785,68.69,15.48,2764,Undetermined,Undetermined,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2764,Yes,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2764,Yes,Yes,21.666666666666668,0.0015256944444444445,0.15276145710928318
EAST-86/90_trap,-3785,68.69,15.48,2764,NA,NA,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2773,No,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2773,No,Yes,663,0.04668625,0.7455237436207941
EAST-86/90_trap,-3785,68.69,15.48,2773,Undetermined,Undetermined,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2773,Yes,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2773,Yes,Yes,226.3076923076923,0.015935833333333333,0.25447625637920596
EAST-86/90_trap,-3785,68.69,15.48,2773,NA,NA,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2787,No,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2787,No,Yes,601.25,0.04233802083333333,0.6466792148426996
EAST-86/90_trap,-3785,68.69,15.48,2787,Undetermined,Undetermined,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2787,Yes,No,0,0,0
EAST-86/90_trap,-3785,68.69,15.48,2787,Yes,Yes,328.5,0.023131875,0.35332078515730037
EAST-86/90_trap,-3785,68.69,15.48,2787,NA,NA,0,0,0
