Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Be et al., 1985",Knorr-3,5.359,-81.902,333,NA,200,Yes,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-3,5.359,-81.902,333,NA,200,Yes,Yes,1.8090000000000002,4.818443297153563e-5,1.2738375000000002e-4,0.17957117331745084
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,No,No,5.194,1.3834712263911334e-4,3.657441666666667e-4,0.501932740626208
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,No,Yes,3.13,8.337052249911914e-5,2.2040416666666666e-4,0.3024739080015462
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,Yes,No,0.378,1.0068388979126848e-5,2.66175e-5,0.0365287978353305
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,Yes,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-4,5.295,-81.843,333,NA,200,Yes,Yes,1.646,4.384277317365817e-5,1.1590583333333332e-4,0.15906455353691534
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,No,No,3.6299999999999994,9.6688497339234e-5,2.5561249999999996e-4,0.5698587127158555
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,No,Yes,2.192,5.8386001699063626e-5,1.5435333333333335e-4,0.3441130298273156
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,Yes,No,0,0,0,0
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,Yes,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-6,5.283,-81.866,333,NA,200,Yes,Yes,0.548,1.4596500424765906e-5,3.858833333333334e-5,0.0860282574568289
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,No,No,3.222,8.582102986970028e-5,2.268825e-4,0.48663343905754414
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,No,Yes,2.289,6.0969688818045915e-5,1.6118375e-4,0.3457181694608065
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,Yes,No,0,0,0,0
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,Yes,Undetermined,0,0,0,0
"Be et al., 1985",Knorr-7,5.316,-81.937,333,NA,200,Yes,Yes,1.11,2.956590414505503e-5,7.816250000000001e-5,0.1676483914816493
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,No,No,4.725,1.2585486223908558e-4,3.3271874999999995e-4,0.10827222731439046
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,No,Yes,14.836,3.9517094945588867e-4,0.0010447016666666666,0.3399633363886343
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,Yes,No,3.05,8.123964652470075e-5,2.147708333333333e-4,0.06989000916590284
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,Yes,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-126,5.18,-81.784,333,NA,100,Yes,Yes,21.029,5.601273858255515e-4,0.0014807920833333334,0.4818744271310724
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,No,No,3.414,9.093513220830439e-5,2.404025e-4,0.09704101645774708
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,No,Yes,8.794,2.3423654148794048e-4,6.192441666666667e-4,0.2499644694579461
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,Yes,No,1.633,4.349650582781519e-5,1.1499041666666667e-4,0.04641710013927973
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,Yes,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-127,5.126,-81.827,333,NA,100,Yes,Yes,21.34,5.684111661761029e-4,0.0015026916666666665,0.6065774139450272
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,No,No,0.716,1.9071339971044505e-5,5.041833333333333e-5,0.08084914182475156
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,No,Yes,2.319,6.17687673084528e-5,1.6329625e-4,0.2618563685636856
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,Undetermined,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,Yes,No,0.482,1.2838527745870742e-5,3.394083333333333e-5,0.05442637759710929
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,Yes,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-128,5.128,-81.874,333,NA,100,Yes,Yes,5.339,1.4220933534274667e-4,3.7595458333333336e-4,0.60286811201445345
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,No,No,0.8749999999999999,2.3306455970201033e-5,6.161458333333332e-5,0.15391380826737025
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,No,Yes,1.312,3.494636598046144e-5,9.238666666666667e-5,0.23078276165347408
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,Undetermined,Undetermined,0.349,9.295946438400184e-6,2.4575416666666665e-5,0.0613896218117854
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,Yes,No,0.6120000000000001,1.630120120430061e-5,4.309500000000001e-5,0.10765171503957786
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,Yes,Undetermined,0,0,0,0
"Be et al., 1985",MOC 1-131,5.3,81.757,333,NA,240,Yes,Yes,2.537,6.757540433874288e-5,1.7864708333333333e-4,0.4462620932277925
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,No,No,1794,0.047784893726332184,0.1263275,1
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,No,Yes,0,0,0,0
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,Yes,No,0,0,0,0
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN00/O,-63.53333333333333,178.383333333333,100,NA,150,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,No,No,34,9.056222891278117e-4,0.002394166666666667,1
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,No,Yes,0,0,0,0
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/B1,-73.91666666666667,174.783333333333,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,No,No,21,5.593549432848249e-4,0.00147875,1
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,No,Yes,0,0,0,0
