Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Lessa et al., 2020",M124_0214-1_MSN#214,-34.454,11.08633333,100,>100,100,No,Yes,3.8000000000000007,1.0121660878487309e-4,2.675833333333334e-4,0.22093023255813954
"Lessa et al., 2020",M124_0214-1_MSN#214,-34.454,11.08633333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0214-1_MSN#214,-34.454,11.08633333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0214-1_MSN#214,-34.454,11.08633333,100,>100,100,Yes,Undetermined,1.2000000000000002,3.196313961627571e-5,8.450000000000001e-5,0.06976744186046512
"Lessa et al., 2020",M124_0214-1_MSN#214,-34.454,11.08633333,100,>100,100,Yes,Yes,11.600000000000001,3.089770162906652e-4,8.168333333333335e-4,0.6744186046511628
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,No,No,0,0,0,0
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,No,Yes,2.2,5.8599089296505465e-5,1.5491666666666667e-4,0.11000000000000003
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,Undetermined,Undetermined,1,2.6635949680229755e-5,7.041666666666667e-5,0.05000000000000001
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0227-2_MSN#227,-33.888,7.386333333,100,>100,100,Yes,Yes,16.799999999999997,4.474839546278598e-4,0.0011829999999999998,0.84
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,No,No,4.2,1.1187098865696498e-4,2.9575e-4,0.17355371900826447
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,No,Yes,3.8000000000000003,1.0121660878487307e-4,2.675833333333333e-4,0.15702479338842976
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0239-1_MSN#239,-31.888,3.625666667,100,>100,100,Yes,Yes,16.2,4.31502384819722e-4,0.0011407499999999998,0.6694214876033058
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,No,No,0.6000000000000001,1.5981569808137856e-5,4.2250000000000004e-5,0.14285714285714288
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,No,Yes,2.2,5.8599089296505465e-5,1.5491666666666667e-4,0.5238095238095238
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,Undetermined,Undetermined,0.4,1.0654379872091902e-5,2.816666666666667e-5,0.09523809523809523
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0252-1_MSN#252,-29.91633333,1.013,100,>100,100,Yes,Yes,1,2.6635949680229755e-5,7.041666666666667e-5,0.23809523809523808
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,No,No,2.4,6.392627923255141e-5,1.69e-4,0.17391304347826086
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,No,Yes,4,1.0654379872091902e-4,2.8166666666666666e-4,0.2898550724637681
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,Yes,No,0.6,1.5981569808137853e-5,4.225e-5,0.043478260869565216
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0265-1_MSN#265,-31.40973333,0.579966667,100,>100,100,Yes,Yes,6.800000000000001,1.8112445782556236e-4,4.788333333333334e-4,0.4927536231884058
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,No,No,6.2,1.651428880174245e-4,4.3658333333333337e-4,0.21232876712328766
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,No,Yes,8.200000000000001,2.1841478737788403e-4,5.774166666666667e-4,0.2808219178082192
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,Yes,No,2.2,5.8599089296505465e-5,1.5491666666666667e-4,0.07534246575342465
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0278-1_MSN#278,-31.10466667,-3.571833333,100,>100,100,Yes,Yes,12.600000000000001,3.3561296597089496e-4,8.872500000000001e-4,0.4315068493150685
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,No,No,1,2.6635949680229755e-5,7.041666666666667e-5,0.046296296296296294
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,No,Yes,0,0,0,0
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,Yes,No,1,2.6635949680229755e-5,7.041666666666667e-5,0.046296296296296294
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0306-1_MSN#306,-32.04716667,-10.67116667,100,>100,100,Yes,Yes,19.6,5.220646137325032e-4,0.0013801666666666667,0.9074074074074074
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,No,No,1.7999999999999998,4.7944709424413556e-5,1.2675e-4,0.047872340425531915
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,No,Yes,1.3999999999999997,3.729032955232165e-5,9.858333333333331e-5,0.03723404255319149
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0320-1_MSN#320,-30.02683333,-11.65858333,100,>100,100,Yes,Yes,34.4,9.162766689999036e-4,0.002422333333333333,0.9148936170212767
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,No,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.09174311926605504
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,No,Yes,2.8,7.458065910464331e-5,1.9716666666666664e-4,0.06422018348623852
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0332-1_MSN#332,-29.56483333,-16.27933333,100,>100,100,Yes,Yes,36.800000000000004,9.802029482324551e-4,0.0025913333333333335,0.8440366972477065
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,No,No,16.799999999999997,4.474839546278598e-4,0.0011829999999999998,0.20638820638820637
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,No,Yes,5,1.3317974840114879e-4,3.520833333333333e-4,0.061425061425061434
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0344_K349,-29.18,-20.053,100,>100,100,Yes,Yes,59.599999999999994,0.0015875026009416933,0.004196833333333333,0.7321867321867322
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,No,No,7.199999999999999,1.9177883769765422e-4,5.07e-4,0.12244897959183673
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,No,Yes,11,2.929954464825273e-4,7.745833333333333e-4,0.1870748299319728
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0356-1_MSN#356,-26.87433333,-24.62733333,100,>100,100,Yes,Yes,40.599999999999994,0.001081419557017328,0.0028589166666666663,0.6904761904761905
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,No,No,39.8,0.0010601107972731442,0.002802583333333333,0.4344978165938865
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,No,Yes,9.8,2.610323068662516e-4,6.900833333333333e-4,0.10698689956331879
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0370-1_MSN#370,-26.87616667,-28.69033333,100,>100,100,Yes,Yes,42,0.0011187098865696498,0.0029575,0.4585152838427948
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,No,No,3.4000000000000004,9.056222891278118e-5,2.394166666666667e-4,0.06882591093117409
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,No,Yes,5.2,1.3850693833719472e-4,3.6616666666666666e-4,0.10526315789473684
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,Yes,Undetermined,1.7999999999999998,4.7944709424413556e-5,1.2675e-4,0.03643724696356274
"Lessa et al., 2020",M124_0382-1_MSN#382,-26.8865,-33.88633333,100,>100,100,Yes,Yes,39,0.0010388020375289605,0.00274625,0.7894736842105262
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,No,No,1,2.6635949680229755e-5,7.041666666666667e-5,0.047619047619047616
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,No,Yes,7.200000000000001,1.9177883769765428e-4,5.070000000000001e-4,0.3428571428571429
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,Yes,No,0,0,0,0
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,Yes,Undetermined,0,0,0,0
"Lessa et al., 2020",M124_0394-1_MSN#394,-26.2545,-36.11683333,100,>100,100,Yes,Yes,12.8,3.4094015590694087e-4,9.013333333333334e-4,0.6095238095238096
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,No,No,117.1191,0.0031195784541937967,0.008247136625,0.3313395846624127
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,No,Yes,236.35239999999996,0.006295470633201534,0.016643148166666663,0.6686604153375872
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_01,72.893,11.7607,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,No,No,5.5166,1.4693988000595549e-4,3.884605833333334e-4,0.5262274283860998
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,No,Yes,4.6,1.2252536852905686e-4,3.2391666666666663e-4,0.4387931281180544
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,Undetermined,Undetermined,0.3667,9.767402747740252e-6,2.582179166666667e-5,0.03497944349584578
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_02,72.9121,19.49,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,No,No,8.0656,2.148349157408611e-4,5.679526666666667e-4,0.5079477038567146
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,No,Yes,6.922300000000001,1.8438203447145444e-4,4.874452916666667e-4,0.435946041262564
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,Yes,No,0.8909,2.372996757011669e-5,6.273420833333333e-5,0.05610625488072147
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_03,69.8448,13.8794,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,No,No,133.41660000000002,0.0035536778441073416,0.009394752250000001,0.34727329376368
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,No,Yes,232.3,0.006187531110717372,0.016357791666666666,0.604659286335455
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,Yes,No,18.4667,4.918780919598989e-4,0.0013003634583333332,0.04806741990086502
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_04,71.3076,13.9423,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,No,No,168.9999,0.00450147283236386,0.011900409625,0.5049798814700959
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,No,Yes,155.25,0.00413523118785567,0.0109321875,0.46389451472002285
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,Yes,No,10.4167,2.774586970340493e-4,7.335092916666666e-4,0.031125603809881237
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_05,72.1383,14.0977,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,No,No,142.7499,0.0038022791532578296,0.010051972125,0.6035936575052854
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,No,Yes,93.7501,0.0024971229461165077,0.006601569541666667,0.3964063424947146
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_06,72.8967,14.1981,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,No,No,227.66650000000004,0.006064113437874029,0.01603151604166667,0.3895620674638721
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,No,Yes,356.75,0.009502375048421965,0.025121145833333334,0.6104379325361279
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_07,73.7348,14.3782,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,No,No,96.68339999999999,0.0025752541773135253,0.006808122749999999,0.33356345228102385
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,No,Yes,193.1667,0.0051451785010960364,0.013602155125,0.6664365477189761
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_08,74.5373,14.5084,100,NA,90,Yes,Yes,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,No,No,110.0332,0.0029308387783546566,0.0077481711666666665,0.6862783253873809
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,No,Yes,50.3,0.0013397882689155567,0.003541958333333333,0.31372167461261924
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,Undetermined,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,Yes,No,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,Yes,Undetermined,0,0,0,0
"Meilland et al., 2020",MOCOSED2014_09,75.6016,16.7047,100,NA,90,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,No,No,1020,0.02716866867383435,0.071825,0.7616487455197133
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,No,Yes,230.4,0.006136922806324936,0.016224,0.17204301075268816
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,Yes,No,88.80000000000003,0.002365272331604403,0.006253000000000002,0.06630824372759858
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO10,-50.67,68.42,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,No,No,448.4,0.011943559836615021,0.03157483333333333,0.7944720056697377
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,No,Yes,90.4,0.00240788985109277,0.006365666666666667,0.16017009213323885
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,Yes,No,25.6,6.818803118138817e-4,0.0018026666666666668,0.04535790219702339
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO11,-56.5,63,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,No,No,93.94999999999999,0.0025024474724575853,0.006615645833333333,0.5884747886000625
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,No,Yes,59.3,0.0015795118160376244,0.004175708333333333,0.37143751957406823
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,Yes,No,6.4,1.7047007795347043e-4,4.506666666666667e-4,0.04008769182586909
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO12,-47,72,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,No,No,8.506666667000001,2.265831452886998e-4,5.990111111345834e-4,0.2437905999773789
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,No,Yes,9.61333333,2.5606026283715553e-4,6.769388886541666e-4,0.275506304883785
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,Undetermined,Undetermined,10.11333333,2.693782376772704e-4,7.121472219875e-4,0.28983568967813217
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,Yes,No,6.659999999999999,1.7739542487033014e-4,4.6897499999999995e-4,0.19086740546070385
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO2,-30,54.1,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,No,No,0.6,1.5981569808137853e-5,4.225e-5,0.0816326530612245
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,No,Yes,0.9999999999999999,2.6635949680229752e-5,7.041666666666665e-5,0.13605442176870747
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,Undetermined,Undetermined,2.65,7.058526665260885e-5,1.8660416666666665e-4,0.36054421768707484
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,Yes,No,3.1,8.257144400871225e-5,2.1829166666666668e-4,0.4217687074829932
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO3,-35,53.5,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,No,No,2,5.327189936045951e-5,1.4083333333333333e-4,0.48192771084337344
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,No,Yes,0.2,5.327189936045951e-6,1.4083333333333335e-5,0.048192771084337345
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,Undetermined,Undetermined,0.7,1.8645164776160827e-5,4.929166666666666e-5,0.1686746987951807
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,Yes,No,1.25,3.3294937100287196e-5,8.802083333333333e-5,0.3012048192771084
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO4,-40,52.9833333,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,No,No,0.15000000000000002,3.995392452034464e-6,1.0562500000000001e-5,0.10000000000000003
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,No,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,Undetermined,Undetermined,0.8999999999999999,2.3972354712206778e-5,6.3375e-5,0.6
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,Yes,No,0.44999999999999996,1.1986177356103389e-5,3.16875e-5,0.3
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO5,-42.5,52.4833333,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,No,No,121.9,0.0032469222660200074,0.008583791666666667,0.7034045008655511
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,No,Yes,18.05,4.807788917281471e-4,0.0012710208333333334,0.10415464512406232
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,Undetermined,Undetermined,8.5,2.2640557228195292e-4,5.985416666666667e-4,0.04904789382573572
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,Yes,No,24.85,6.619033495537095e-4,0.0017498541666666667,0.1433929601846509
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO6,-45,52.06,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,No,No,498.8,0.013286011700498602,0.03512383333333333,0.5949427480916031
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,No,Yes,90.8,0.0024185442309648617,0.006393833333333333,0.10830152671755724
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,Undetermined,Undetermined,94.4,0.002514433649813689,0.006647333333333334,0.11259541984732825
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,Yes,No,154.39999999999998,0.004112590630627474,0.010872333333333331,0.18416030534351144
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO7,-47.67,58,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,No,No,269.4,0.007175724843853895,0.018970249999999998,0.6551556420233463
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,No,Yes,21.6,5.753365130929627e-4,0.001521,0.05252918287937744
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,Undetermined,Undetermined,23.2,6.179540325813303e-4,0.0016336666666666665,0.05642023346303502
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,Yes,No,97,0.002583687118982286,0.006830416666666667,0.23589494163424124
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO8,-48,60,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,No,No,1193.2,0.031782015158450146,0.08402116666666667,0.6959869342043864
